name,zip
Brunswick St,7302
McGinley Square,7306
34 Ave & 45 St,11101
Lenox Ave & W 144 St,10037
Prospect Pl & 6 Ave,11217
Kingston Ave & Herkimer St,11213
34 Ave & 48 St,11101
53 St & 4 Ave,11220
5 Ave & 3 St,11215
Willoughby Ave & Onderdonk Ave,11385
Parade Pl & Crooke Ave,11226
E 84 St & 1 Ave,10028
7 Ave & 62 St,11220
Madison Ave & E 82 St,10028
E 161 St & River Ave,10451
Hanson Pl & Ashland Pl,11217
Johnson St & Gold St,11201
Greenwich St & Rector St,10006
Broadway & Battery Pl,10004
Broadway & Morris St,10006
Adams St & Prospect St,11201
Bus Slip & State St,10004
Centre St & Worth St,10013
E 157 St & River Ave,10451
Columbus Drive,7302
Leonard Gordon Park,7307
Brook Ave & E 138 St,10454
Crotona Park North & Prospect Ave,10457
Stanton St & Mangin St,10002
St. Ann's Av & Bruckner Blvd,10454
Kosciuszko St & Tompkins Ave,11216
Sedgwick Ave & W Burnside Ave,10453
Dixon Mills,7302
Dawson St & Intervale Ave,10459
Macon St & Patchen Ave,11233
60 Pl & Linden St,11385
Woodside Ave & Roosevelt Ave,11377
Ditmars Blvd & 73 St,11370
E 169 St & Webster Ave,10456
University Ave & W 168 St,10452
Wales Ave & E 147 St,10455
York St & Marin Blvd,7302
43 Ave & 40 St,11104
Concord St & Bridge St,11201
3 Ave & 17 St,11232
Onderdonk Ave & Gates Ave,11385
21 Ave & 80 St,11370
St Nicholas Ave & W 137 St,10030
Liberty Light Rail,7304
Seaman Ave & Isham St,10034
43 St & Broadway,11103
W 192 St & University Ave,10468
57 St & 7 Ave,10106
34 Ave & 21 St,11105
Henry St & Degraw St,11231
Kingsland Ave & Nassau Ave,11222
Westchester Ave & E 156 St,10455
Church Ave & Story St,11218
Broadway & 49 St,11377
Ralph Ave & Fulton St,11233
Buffalo Ave & E New York Ave,11213
Central Ave & Himrod St,11221
E 114 St & 1 Ave,10029
Morgan Ave & Lombardy St,11222
McKibbin St & Bogart St,11237
Greenwich St & Hubert St,10013
Nagle Ave & Thayer St,10040
E 88 St & Park Ave,10128
Prospect Park SW & Vanderbilt St,11218
E 72 St & Park Ave,10021
Division Ave & Hooper St,11211
Warren St & W Broadway,10007
St Marks Pl & 2 Ave,10003
Lafayette St & Grand St,10013
Crescent St & Broadway,11103
Baldwin at Montgomery,7304
Lafayette Park,7304
E 141 St & St Ann's Ave,10454
Bainbridge Ave & E 196 St,10458
Walton Ave & E 171 St,10452
Willoughby Ave & Walworth St,11205
Washington Ave & Greene Ave,11238
Marshall St & 2 St,7030
Goulden Ave & Bedford Park Blvd W,10468
39 Ave & 56 St,11377
Rogers Pl & E 165 St,10459
Jerome Ave & W 193 St,10468
Jerome Ave & W 184 St,10468
41 Ave & 67 St,11377
Westchester Ave & Southern Blvd,10459
Union Ave & E 169 St,10459
Academy St & Nagle Ave,10034
27 Ave & 3 St,11102
Fresh Pond Rd & Eliot Ave,11379
4 St & Grand St,7302
6 St & Grand St,7030
8 St & Astoria Blvd,11102
Fresh Pond Rd & Flushing Ave,11378
Van Dam St & Greenpoint Ave,11101
Carroll St & Utica Ave,11213
Pleasant Ave & E 116 St,10029
Adam Clayton Powell Blvd & W 141 St,10030
W 145 St & Amsterdam Ave,10031
McKibbin St & Manhattan Ave,11206
Lenox Ave & W 140 St,10037
Cooper Ave & 65 Pl,11385
E 78 St & 2 Ave,10075
St. Nicholas Ave & W 155 St,10032
River Ave & E 153 St,10451
Ryer Ave & E 182 St,10457
E 106 St & 1 Ave,10029
Park Pl & Thomas S. Boyland St,11233
Maple St & New York Ave,11225
W 111 St & 5 Ave,10026
E 106 St & Lexington Ave,10029
W 29 St & 9 Ave,10001
Hilltop,7306
Amsterdam Ave & W 119 St,10027
Degraw St & Smith St,11231
Railroad Ave & Kay Ave,11249
Greene Av & Myrtle Av,11237
3 Ave & E 72 St,10021
Centre St & Chambers St,10013
E Houston St & Columbia St,10002
Lafayette Ave & Ft Greene Pl,11217
Berkeley Pl & 6 Ave,11217
Vernon Blvd & 10 St,11106
Fulton St & William St,10038
Sands St & Jay St,11201
Duffield St & Willoughby St,11201
W 26 St & 10 Ave,10001
Clinton St & Grand St,10002
Bainbridge Ave & Bedford Park Blvd,10458
Crescent St & Ditmars Blvd,11105
Edgecombe Ave & W 145 St,10030
Bergen Ave,7304
Hancock St & Malcolm X Blvd,11233
Walton Ave & E 153 St,10451
E 163 St & Tiffany St,10459
Bergen St & Saratoga Ave,11233
Brooklyn Ave & Dean St,11216
Broadway & W 220 St,10034
Melrose Ave & E 154 St,10455
Newport PATH,7310
Sedgwick Ave & W Tremont Ave,10453
Amsterdam Ave & W 183 St,10033
E 156 & Brook Ave,10455
DeKalb Ave & S Portland Ave,11201
Willis Ave & Bruckner Blvd,10454
Dyckman St & Henshaw St,10034
Adams St & 11 St,7030
Schenectady Ave & Maple St,11203
Somers St & Rockaway Ave,11233
Pacific St & Troy Ave,11213
57 Rd & 59 St,11378
Central Ave & Weirfield St,11221
31 Ave & 61 St,11377
Catalpa Ave & Woodward Ave,11385
E 138 St & Park Ave,10451
Marion Ave & Mosholu Pkwy,10458
Nostrand Ave & Myrtle Ave,11205
Southwest Park - Jackson St & Observer Hwy,7030
E 117 St & 1 Ave,10035
Lenox Ave & W 146 St,10039
Boston Rd & E 167 St,10456
76 St & 21 Ave,11370
Winthrop St & Schenectady Ave,11203
11 St & Washington St,7030
1 Ave & E 110 St,10029
2 Ave & E 122 St,10035
Wilson Ave & Troutman St,11206
Mt Morris Park W & W 120 St,10027
E 165 St & Fox St,10459
3 Ave & Wakeman Pl,11220
35 Ave & 10 St,11106
Bushwick Ave & Powers St,11211
Lenox Ave & W 111 St,10026
E 115 St & Madison Ave,10029
Henry St & Grand St,10002
Botanical Sq & Webster Ave,10458
Carroll St & Smith St,11231
10 Ave & W 207 St,10034
2 Ave & E 96 St,10128
River Ter & Warren St,10282
Washington Ave & Park Ave,11205
Broadway & E 14 St,10003
Macombs Rd & Featherbed Ln,10452
34 St & 35 Ave,11106
Linden St & Knickerbocker Ave,11221
Clinton St & Newark St,7030
Brunswick & 6th,7302
2 St & Park Ave,7030
Pinehurst Ave & W 187 St,10033
Menahan St & Seneca Ave,11385
Prospect Ave & E 167 St,10456
Norman St & Wyckoff Ave,11385
Greene Ave & Grandview Ave,11385
39 St & Queens Blvd,11101
Ogden Ave & Merriam Ave,10452
11 Ave & Prospect Ave,11215
Irving Ave & Halsey St,11237
W 107 St & Columbus Ave,10025
Fulton St & Saratoga Ave,11233
E Burnside Ave & Ryer Ave,10457
St Felix Ave & 61 St,11385
60 St & 37 Ave,11377
Grand Concourse & E 192 St,10458
Glenwood Ave,7306
Manila & 1st,7302
34 Ave & 13 St,11106
River Ave & E 151 St,10451
43 St & 37 Ave,11101
39 Ave & 54 St,11377
Southern Blvd & Avenue St. John,10455
Winthrop St & Rogers Ave,11225
Skillman Ave & Honeywell St,11101
Sands St Gate,11201
E 161 St & Park Ave,10451
New York Ave & Hawthorne St,11203
Richardson St & N Henry St,11222
Carroll St & 6 Ave,11215
E 128 St & Madison Ave,10035
Prospect Ave & E 151 St,10455
Cedar Ave & W Fordham Rd,10468
69 St & 38 Ave,11377
W 37 St & 10 Ave,10018
11 Ave & W 59 St,10019
40 St & Queens Blvd,11104
43 St & 35 Ave,11101
Franklin Ave & Myrtle Ave,11205
65 St & Roosevelt Ave,11377
Front St & Gold St,11201
W 35 St & 8 Ave,10001
Wards Meadow Comfort Station,10035
Fulton Ave & St. Paul's Pl,10456
W 176 St & Montgomery Ave,10453
60 Pl & 67 Ave,11385
W 181 St & Riverside Dr,10033
Featherbed Ln & Jerome Ave,10453
Madison St & Evergreen Ave,11221
E 155 St & Courtlandt Ave,10455
Jerome Ave & E 164 St,10452
Lexington Ave & Classon Ave,11238
Willoughby Ave & Myrtle Ave,11221
Beck St & Leggett Ave,10455
